,product_name,product_price,product_availability,date,store,search_term,product_price_dollar
189,JABON DALAN 90GR X3UND PEPINO CON LECHE,Bs. 12.33,True,24/08/2022,Plan Suarez,leche,1.962844452934715
190,JABON DOVE 90GR LECHE COCO JAZMIN,Bs. 6.97,True,24/08/2022,Plan Suarez,leche,1.1095722495502809
191,LECHE ALMENDRA SCOTTI UHT 1L,Bs. 25.18,True,24/08/2022,Plan Suarez,leche,4.008469045003741
192,LECHE CAMPESTRE 900 GR SEMI DESCREMDA,Bs. 67.45,True,24/08/2022,Plan Suarez,leche,10.737539201171659
193,LECHE CAMPROLAC 800GRS FORTICRECE,Bs. 73.60,True,24/08/2022,Plan Suarez,leche,11.71657353901014
194,LECHE COMPLETA CAMPESTRE 1KG EXT CALCIO,Bs. 72.66,True,24/08/2022,Plan Suarez,leche,11.566932518267349
195,LECHE COMPLETA PURISIMA 1 LT UHT,Bs. 11.55,True,24/08/2022,Plan Suarez,leche,1.838674244233249
196,LECHE CONDENSADA CAMPONESA 395GRS,Bs. 14.05,True,24/08/2022,Plan Suarez,leche,2.236655682378974
197,LECHE CONDENSADA DIFIORE 380 GRS,Bs. 9.69,True,24/08/2022,Plan Suarez,leche,1.5425760542528295
198,LECHE CONDENSADA NATULAC 340GRS,Bs. 11.45,True,24/08/2022,Plan Suarez,leche,1.82275498670742
199,LECHE CONDENSADA NATULAC 397 GRS LATA,Bs. 15.27,True,24/08/2022,Plan Suarez,leche,2.4308706241940876
200,LECHE DE COCO BADIA 400ML,Bs. 19.29,True,24/08/2022,Plan Suarez,leche,3.070824776732413
201,LECHE DE COCO EXOTCI FOOD 400ML,Bs. 18.14,True,24/08/2022,Plan Suarez,leche,2.88775331518538
202,LECHE DE COCO LA FE 400ML,Bs. 24.16,True,24/08/2022,Plan Suarez,leche,3.8460926182402853
203,LECHE DE COCO MONACO 400ML,Bs. 13.48,True,24/08/2022,Plan Suarez,leche,2.1459159144817486
204,LECHE DE COCO SAVIA 400ML,Bs. 19.81,True,24/08/2022,Plan Suarez,leche,3.153604915866724
205,LECHE DESC DESLACT PASTOREÑA 1 LT UHT,Bs. 10.95,True,24/08/2022,Plan Suarez,leche,1.743158699078275
206,LECHE DESC EN POLVO CAMPESTRE 900GR BOLS,Bs. 89.94,True,24/08/2022,Plan Suarez,leche,14.317780218730599
207,LECHE DESCREMADA PASTOREÑA 1 LT UHT,Bs. 9.40,True,24/08/2022,Plan Suarez,leche,1.4964102074279257
208,LECHE DESCREMADA PURISIMA 1 LT UHT,Bs. 11.03,True,24/08/2022,Plan Suarez,leche,1.755894105098938
209,LECHE DESCREMADA SAN SIMON 1 LT UHT,Bs. 10.40,True,24/08/2022,Plan Suarez,leche,1.6556027826862156
210,LECHE DESLACTOSADA SAN SIMON 1 LT UHT,Bs. 10.64,True,24/08/2022,Plan Suarez,leche,1.6938090007482052
211,LECHE ENTERA CAMPESTRE 1 LT UHT,Bs. 9.00,True,24/08/2022,Plan Suarez,leche,1.4327331773246097
212,LECHE ENTERA CARABOBO  1.5 LTS,Bs. 11.66,True,24/08/2022,Plan Suarez,leche,1.856185427511661
213,LECHE ENTERA CARABOBO 1 LT UHT,Bs. 12.86,True,24/08/2022,Plan Suarez,leche,2.047216517821609
214,LECHE ENTERA PASTOREÑA 1 LT UHT,Bs. 10.45,True,24/08/2022,Plan Suarez,leche,1.6635624114491299
215,LECHE ENTERA SAN SIMON 1 LT UHT,Bs. 10.64,True,24/08/2022,Plan Suarez,leche,1.6938090007482052
216,LECHE EVAPORADA BELLA HOLANDESA 405GR,Bs. 14.76,True,24/08/2022,Plan Suarez,leche,2.3496824108123597
217,LECHE LA CAMPESINA  800G HIERRO VITAM,Bs. 57.11,True,24/08/2022,Plan Suarez,leche,9.09148797300094
218,"LECHE LALO ENTERA 1,8LT",Bs. 21.25,True,24/08/2022,Plan Suarez,leche,3.3828422242386615
219,"LECHE LOS ANDES COMPLETA PASTEURIZ 1,8LT",Bs. 22.17,True,24/08/2022,Plan Suarez,leche,3.529299393476289
220,LECHE LOS ANDES COMPLETA PASTEURIZ 900ML,Bs. 21.76,True,24/08/2022,Plan Suarez,leche,3.46403043762039
221,LECHE NATULAC 1LT UHT LIQUIDA ENTERA,Bs. 11.76,True,24/08/2022,Plan Suarez,leche,1.8721046850374898
222,LECHE PARMALAT 1.8LTS PASTEURIZAD COMPLE,Bs. 36.06,True,24/08/2022,Plan Suarez,leche,5.740484263813936
223,LECHE POLVO CAMPESTRE 900GR COMPLETA,Bs. 67.28,True,24/08/2022,Plan Suarez,leche,10.710476463377749
224,LECHE POLVO DOBON 400GR COMPLETA,Bs. 21.71,True,24/08/2022,Plan Suarez,leche,3.456070808857475
225,LECHE POLVO LA CAMPIÑA 900GR COMPLETA,Bs. 63.35,True,24/08/2022,Plan Suarez,leche,10.084849642612669
226,LECHE POLVO SAN SIMON 900GR COMPLETA,Bs. 62.25,True,24/08/2022,Plan Suarez,leche,9.90973780982855
227,LECHE POLVO UPACA 900GR COMPLETA,Bs. 53.93,True,24/08/2022,Plan Suarez,leche,8.585255583679578
228,LECHE POLVO VACALAC 900GR,Bs. 56.09,True,24/08/2022,Plan Suarez,leche,8.929111546237484
229,LECHE SEM DESCR SVELTY 400GRS,Bs. 31.69,True,24/08/2022,Plan Suarez,leche,5.044812709935209
